cod_upz;nom_upz;UGS [% area];Schools [1/ha];Health Services [1/ha];Government Services [1/100 ha];Cultural Activites [1/ha];PT Stations [1/ha];Sidewalks [% area];Cycle paths [% area];Streets [% area];Mean slope [%];Bike sharing [1/100 ha]
1;PASEO DE LOS LIBERTADORES;12.24758515;0.001580418;0.004741254;0;0;0.026867106;0.330061162;0.086176763;2.281531488;1.851598669;0
2;LA ACADEMIA;3.22880375;0.040707555;0.002907683;0;0;0.033438349;0.130131558;0;2.087928858;1.24843814;0
3;GUAYMARAL;4.338232321;0.003673607;0;0;0;0.007347215;0.191092017;0;2.624371666;1.025678692;0
9;VERBENAL;5.728488237;0.08613215;0.356012885;0;0;0.324431097;6.292227377;0.354500807;11.45369289;2.274028315;0
10;LA URIBE;4.274891127;0.045511823;0.073956713;0;0.5688978;0.122313025;3.449818948;0.413699173;6.088313446;2.3269751;0
11;SAN CRISTOBAL NORTE;5.553629268;0.090176204;0.504986744;0.3607048;0;0.328241384;6.178203474;0.067328043;10.34154266;3.600099927;0
12;TOBERIN;82.84384331;0.044667246;0.793702605;0.3435942;0;0.209592463;8.618457468;0.574748197;13.54369848;1.941879729;0
13;LOS CEDROS;7.288464362;0.032941726;0.540543778;0;0.4492054;0.193158303;7.589702431;0.274233716;12.31311521;2.944778714;0
14;USAQUEN;5.552634137;0.012149143;2.620165147;0.6074571;0.8099429;0.21261;6.147433919;0.213191782;10.39978553;4.041398407;2.6323143
15;COUNTRY CLUB;6.601656121;0.03160068;2.250670637;0;0.7022373;0.112357973;4.566389938;0.232433955;8.368539522;2.969596202;0
16;SANTA BARBARA;6.775881595;0.010952447;3.180590512;1.3142936;0.4380979;0.201525019;9.881243344;0.525419993;15.10833494;2.684395686;13.142936
17;SAN JOSE DE BAVARIA;3.836230086;0.07283802;0.213961683;0;0;0.04779995;6.694137268;0.265655736;10.00923286;1.407420045;0
18;BRITALIA;9.980574622;0.063995904;0.304742401;0;0.3047424;0.204177409;6.447751275;0.238724531;11.10209538;2.279660242;0
19;EL PRADO;7.007461719;0.053661962;0.424629441;0.2333129;0;0.156319629;8.415907645;0.287309646;13.4321368;2.142974036;0
20;LA ALHAMBRA;8.904531043;0.028163461;1.087813671;0.7040865;0;0.158419467;10.4900915;0.553835934;16.26077513;2.102469392;0
21;LOS ANDES;7.633468842;0.036391161;0.869748755;0.3639116;1.0917348;0.17831669;8.445592958;0.517203812;14.87956709;1.683116912;3.2752045
22;DOCE DE OCTUBRE;4.492909887;0.068654052;0.483563324;0.5969918;0;0.170142651;11.71189757;0.306566044;18.72003704;1.669781658;0
23;CASA BLANCA SUBA;8.216665856;0.028599824;0.102482703;0;0;0.119165934;4.012566477;0.354517843;7.139864651;2.999119624;0
24;NIZA;11.94210942;0.024861072;0.240759859;0.3925432;0;0.133464704;6.37528973;0.319048671;10.20599644;2.675532359;0
25;LA FLORESTA;7.073360325;0.030798766;0.605709065;0;0;0.133461319;6.368930385;0.266240651;9.449573411;1.976229267;0
26;LAS FERIAS;5.371105608;0.095001647;0.576343323;0.4222295;0.2111148;0.295560679;10.29789443;0.264925054;16.64397413;1.562964502;0
27;SUBA;8.123215005;0.083228399;0.362197661;0.1541267;0;0.171080597;5.39811611;0.153346259;9.54759698;2.453955497;0
28;EL RINCON;6.486827744;0.137546613;0.525177977;0.138936;0;0.20284652;8.450327027;0.378579616;12.80556836;1.736347823;0
29;EL MINUTO DE DIOS;8.974160326;0.09520882;0.631098465;0;0.8160756;0.212179656;8.754645293;0.472146932;13.32568476;1.364999197;0
30;BOYACA REAL;6.38295995;0.106221481;0.535533298;0.4425895;0;0.323090337;9.828576167;0.304477545;16.25048523;1.46845459;0
31;SANTA CECILIA;8.262631676;0.06817562;0.587608919;0.3246458;0;0.253223733;10.1060325;0.360236082;16.46246523;1.530047059;0
32;SAN BLAS;5.669143018;0.045298198;0.135894594;0;0;0.277828948;6.390431209;0;10.20453163;3.483836391;0
33;SOSIEGO;11.2959717;0.118995508;0.339987165;0.8499679;0.8499679;0.263490053;8.358421992;0.493295411;14.00510673;1.892381751;0
34;20 DE JULIO;6.059785237;0.093864985;0.690846287;0.3754599;0.3754599;0.30787715;10.38718976;0.10573913;18.42516832;2.305258492;0
35;CIUDAD JARDIN;6.62992727;0.111891868;0.544540423;0;1.4918916;0.193945904;10.77867707;0.396836146;19.0546603;1.570148745;0
36;SAN JOSE;14.33808604;0.105674733;0.26899023;0;0;0.196939275;9.468244599;0.311418683;13.5083789;2.236150822;0
37;SANTA ISABEL;3.030370064;0.089712472;0.49840262;0;0;0.338913781;13.0763015;0.117882138;21.92817186;1.494255679;0
38;RESTREPO;5.600955042;0.086318275;0.960638867;0.278446;0.8353381;0.239463602;11.7148478;0.213233594;18.10547996;1.536975508;0
39;QUIROGA;5.008163063;0.112721248;1.218962335;0.2621424;0;0.243792467;11.03336974;0.037015351;17.96262344;1.416057839;0
40;CIUDAD MONTES;11.78406508;0.085768326;0.367900978;0;0.2257061;0.196364326;10.80074562;0.212128454;16.8689799;1.515831283;0
41;MUZU;9.243861655;0.120377021;0.585834835;0;0;0.284892283;12.08489236;0.179056244;18.63492723;1.398323893;0
42;VENECIA;13.00413285;0.072389019;0.414728752;0.3016209;0;0.224707579;7.35808237;0.673941808;11.86736525;1.338527755;0
43;SAN RAFAEL;7.787750549;0.079464288;0.672390133;0;0;0.281181328;10.2922305;0.187882643;17.81265145;1.342225348;0
44;AMERICAS;12.92957255;0.081429161;0.585764607;0.2626747;0;0.262674712;10.97257513;0.468344913;17.06129073;1.638696663;0
45;CARVAJAL;5.75061038;0.057435615;0.356100811;0.4594849;0.2297425;0.2802858;11.02285427;0.256523124;17.29754323;1.460744777;0
46;CASTILLA;9.805366552;0.070025209;0.422151975;0;0;0.226081389;8.238181865;0.273640371;15.0368426;1.739831649;0
47;KENNEDY CENTRAL;6.014466264;0.148412432;1.044823523;0.5936497;0;0.353221589;9.634143497;0.563505353;15.71200235;1.516151294;0
48;TIMIZA;14.57931509;0.095119665;0.410638555;0;0;0.324798857;9.450494042;0.445830882;13.21731166;1.723170213;0
49;APOGEO;6.153653386;0.066585179;0.275852885;0;0;0.190243369;6.326512078;0.519282497;13.26606158;1.696220525;0
50;LA GLORIA;6.303560743;0.082993148;0.191921654;0;0.2593536;0.215263477;7.303506564;0;11.00454349;3.424332039;0
51;LOS LIBERTADORES;15.00288234;0.061733635;0.066878104;0;0.2572235;0.192917609;4.822125438;0;9.166206648;3.460895376;0
52;LA FLORA;3.471077631;0.019859593;0.039719185;0;0;0.114192658;4.112286038;0;9.012259525;2.9754013;0
53;MARCO FIDEL SUAREZ;8.593162976;0.10608954;0.335019599;0.558366;0;0.295933979;8.261435336;0;14.63788435;3.087007224;0
54;MARRUECOS;8.157639496;0.064190405;0.22885275;0;0;0.17861678;5.561484026;0;9.81551817;2.72103771;0
55;DIANA TURBAY;9.482113787;0.071439562;0.324225705;0;0;0.340711758;9.903674521;0.037540281;13.5527008;2.95850106;0
56;DANUBIO;6.962220455;0.029862892;0.119451568;0.3732861;0;0.160513044;4.038851697;0;7.263047508;3.512500547;0
57;GRAN YOMASA;5.707952573;0.075497196;0.320863084;0.188743;0;0.19063042;6.730673152;0.062710538;9.9630881;2.890717531;0
58;COMUNEROS;13.11685133;0.049706319;0.11598141;0;0.4142193;0.165687728;5.176819003;0.116028693;10.30051755;2.536418247;0
59;ALFONSO LOPEZ;6.650828177;0.06427947;0.098561854;0;0;0.231406092;7.058714582;0.084033023;13.69611653;2.731004201;0
60;PARQUE ENTRENUBES;3.73871919;0;0.00370369;0;0;0;0.002762434;0;0.696124755;6.16856126;0
61;CIUDAD USME;0.938640718;0.006051205;0.005042671;0;0;0.031264561;0.532852145;0.029848599;2.47968796;3.003311186;0
62;TUNJUELITO;0.577329994;0.057164684;0.194879603;0.2598395;0;0.124722946;4.300440558;0.106165393;8.000469166;1.255178291;0
63;EL MOCHUELO;0.023542693;0;0;0;0;0.021814805;0.286957894;0;1.66116516;2.675373882;0
64;MONTE BLANCO;0.33974503;0.001265986;0.001265986;0;0;0.006329931;0.063816252;0.025698027;1.413499604;3.941497586;0
65;ARBORIZADORA;9.497491585;0.068627002;0.267972105;0.3267952;0.6535905;0.205881007;7.007689884;0.522343383;11.32078026;1.724991682;0
66;SAN FRANCISCO;5.406854819;0.109773702;0.839768817;0;0;0.323832419;10.25558809;0.303035298;16.61313936;2.118288752;0
67;LUCERO;3.891615161;0.073993643;0.204773106;0;0.1720782;0.287370662;5.820823394;0.041200383;12.4609026;3.700777058;0
68;EL TESORO;6.390576589;0.044672572;0.102746916;0;0;0.25910092;5.522352949;0;11.58093093;3.475424344;0
69;ISMAEL PERDOMO;14.00176259;0.048353388;0.257884736;0.1790866;0;0.277584265;6.763869578;0.014997108;11.88026408;3.371895433;0
70;JERUSALEM;10.43184607;0.035343577;0.122772425;0;0;0.130213178;3.638282228;0;7.603279865;4.077207572;0
71;TIBABUYES;10.04919742;0.0616947;0.301767553;0;0;0.221296206;6.254575614;0.146831588;8.748738598;1.388802029;0
72;BOLIVIA;17.53153703;0.055790496;0.140592049;0;0;0.171834726;5.442354671;0.569948874;9.069730376;1.501673061;0
73;GARCES NAVAS;13.33769702;0.084325201;0.498774593;0;0;0.240416531;8.225527284;0.367540108;12.36153517;1.564224299;0
74;ENGATIVA;16.17985597;0.057849496;0.239905263;0.1701456;0;0.14462374;5.656518498;0.206975152;8.090527094;1.074250556;0
75;FONTIBON;4.918571694;0.100793649;0.647095228;0.4031746;0;0.211666663;10.22118094;0.195620234;14.14715895;1.481607765;0
76;FONTIBON SAN PABLO;2.7760752;0.027802337;0.077846542;0;0;0.155693084;4.205578289;0.008918517;6.692641194;1.468956141;0
77;ZONA FRANCA;9.11286871;0.002041554;0.067371275;0;0;0.05920506;3.160319258;0.316419278;4.425887004;1.416926857;0
78;TINTAL NORTE;2.153309396;0.002888637;0.020220461;0;0;0.057772745;2.171034392;0.280620046;4.879365944;1.074931417;0
79;CALANDAIMA;9.820838149;0.009417763;0.213469284;0;0;0.254279588;7.557635137;0.775117769;9.79796322;1.577046012;0
80;CORABASTOS;5.082626256;0.021349502;0.288218277;0;0;0.165458641;9.8183104;0.148908507;15.09552792;1.447274954;0
81;GRAN BRITALIA;10.46839838;0.089251349;0.451834952;0;0;0.295645092;11.47591608;0.010391869;14.97767444;1.476632837;0
82;PATIO BONITO;4.663078197;0.143603883;0.71163702;0;0;0.315928543;13.89730679;0.762275866;18.72010308;1.425704198;0
83;LAS MARGARITAS;50.87489771;0.027106331;0.006776583;0;0;0.101648743;4.501445174;0.979836346;8.470204585;0.916817019;0
84;BOSA OCCIDENTAL;3.511579556;0.10279679;0.614390116;0;0;0.313171616;11.9333818;0.325210196;16.75438715;1.526232464;0
