cod_upz;nom_upz;Women [%];Children [%];Teenagers [%];Older People [%];Victim population [%];SES 1 and 2 [% residential area];Mean slope [%];Sidewalk density [%];Cycleway density [%];Street density [%];Accidents with fatalities [1/ha];Accidents with injuries [1/ha];Pollution [PM2.5];Car share;PT share;Bike share;Walking share;Motorcycle share;Commuting Time;Access to Schools;Access to Health;Access to Administration;Access to Culture;Access to UGS;Access to PT;Access to Bike Sharing
1;PASEO DE LOS LIBERTADORES;51,26394052;12,78810409;13,34572491;12,93680297;2,82527881;19,26613996;1,851598669;0,33;0,09;2,28;0,05;1,24;14,520;18,81;26,43;10,95;30,24;5,24;49,42;29,44917837;5,849309003;0;0;76,45379615;46,4239325;0
2;LA ACADEMIA;51,34980989;14,4486692;17,98479087;9,258555133;0,323193916;33,51076808;1,24843814;0,13;0,00;2,09;0,02;0,29;15,739;37,11;17,61;8,18;8,81;6,29;52,49;71,73342977;9,175193196;0;0;66,71444097;41,31671847;0
3;GUAYMARAL;51,63447251;9,101040119;18,64784547;14,04160475;0,222882615;0;1,025678692;0,19;0,00;2,62;0,01;0,18;14,520;65,93;3,30;12,09;2,20;9,89;52,80;24,28222204;0;0;0;62,7590865;10,58674094;0
9;VERBENAL;52,77388465;13,54328442;13,19025144;11,61448193;1,221978954;24,42075431;2,274028315;6,29;0,35;11,45;0,16;4,75;15,965;12,54;21,94;10,50;40,75;4,39;44,27;99,99997738;95,38616329;0;3,872946715;100;99,53588179;0
10;LA URIBE;54,33619711;11,54428054;11,63883936;15,62381801;0,391743665;18,35050627;2,3269751;3,45;0,41;6,09;0,09;3,12;15,965;19,91;31,48;8,02;24,69;4,48;51,97;94,55092674;58,75356327;0;40,16382124;95,24834558;80,5855351;0
11;SAN CRISTOBAL NORTE;52,64810321;13,04651832;12,96014478;14,38325176;1,195519544;40,92118634;3,600099927;6,18;0,07;10,34;0,16;4,80;15,847;12,65;25,30;7,16;39,38;4,06;47,72;98,59040381;84,5713625;38,25309991;59,8215865;99,44848685;94,21798242;0
12;TOBERIN;54,15424621;9,735523562;10,75188685;19,75486776;0,569226866;0,714535515;1,941879729;8,62;0,57;13,54;0,13;6,14;14,848;16,11;30,56;7,97;30,23;5,98;53,85;100;93,38002392;63,74149276;27,26384206;100;100;0
13;LOS CEDROS;55,76152267;7,64523275;7,169582065;26,53493662;0,283760456;0,655461467;2,944778714;7,59;0,27;12,31;0,10;4,57;12,274;23,59;31,21;5,79;23,59;5,65;54,21;95,53623184;91,18270459;27,90461503;42,40786979;98,08466735;93,40087588;0
14;USAQUEN;52,56024096;9,420759963;10,36839666;21,60333642;0,892029657;3,393498381;4,041398407;6,15;0,21;10,40;0,12;4,12;12,902;38,54;26,65;4,01;8,88;9,74;60,20;79,57485114;65,33750497;59,83188099;52,82754225;88,32282094;71,47126759;52,34571026
15;COUNTRY CLUB;55,30848132;8,41625842;9,219993876;29,93723209;0,252602572;0;2,969596202;4,57;0,23;8,37;0,07;2,60;12,274;39,78;18,20;4,04;17,75;6,52;50,04;84,57912968;81,42491892;29,23274854;55,14429646;96,2238807;82,08784871;33,25771207
