cod_upz;nom_upz;Total Population [people];Women [%];Children [%];Teenagers [%];Older people [%];Victim Population [%];SES 1 and 2 [% built-up area]
1;PASEO DE LOS LIBERTADORES;2690;51.26394052;12.78810409;13.34572491;12.93680297;2.82527881;19.26613996
2;LA ACADEMIA;5260;51.34980989;14.4486692;17.98479087;9.258555133;0.323193916;33.51076808
3;GUAYMARAL;2692;51.63447251;9.101040119;18.64784547;14.04160475;0.222882615;0
9;VERBENAL;131999;52.77388465;13.54328442;13.19025144;11.61448193;1.221978954;24.42075431
10;LA URIBE;37014;54.33619711;11.54428054;11.63883936;15.62381801;0.391743665;18.35050627
11;SAN CRISTOBAL NORTE;72939;52.64810321;13.04651832;12.96014478;14.38325176;1.195519544;40.92118634
12;TOBERIN;63068;54.15424621;9.735523562;10.75188685;19.75486776;0.569226866;0.714535515
13;LOS CEDROS;134973;55.76152267;7.64523275;7.169582065;26.53493662;0.283760456;0.655461467
14;USAQUEN;43160;52.56024096;9.420759963;10.36839666;21.60333642;0.892029657;3.393498381
15;COUNTRY CLUB;26128;55.30848132;8.41625842;9.219993876;29.93723209;0.252602572;0
16;SANTA BARBARA;74375;55.01445378;8.088739496;6.24;27.72840336;0.243361345;0
17;SAN JOSE DE BAVARIA;52099;53.5442139;7.773661683;10.64319853;21.78544694;0.491372195;0
18;BRITALIA;97578;53.66988461;10.07399209;10.09243887;17.16985386;0.322818668;0.518031448
19;EL PRADO;106920;54.1563786;8.295922185;9.315375982;22.56921062;0.456416012;0.68603993
20;LA ALHAMBRA;43531;54.86434954;6.420711677;5.844111093;29.67999816;0.243504629;0
21;LOS ANDES;31556;53.43199392;8.125237673;8.540372671;21.44441628;0.80808721;0
22;DOCE DE OCTUBRE;75666;49.94052811;11.34195015;9.848544921;17.70279914;1.095604367;0
23;CASA BLANCA SUBA;62660;53.66900734;10.02393872;11.77944462;18.28598787;0.223428024;3.646213971
24;NIZA;84904;54.20710449;7.782907755;9.629699425;26.58885329;0.53707717;0.279549947
25;LA FLORESTA;46543;54.59467589;9.163569173;8.860623509;23.35045012;0.459789872;0.000959887
26;LAS FERIAS;100848;52.32329843;8.698238934;10.89858004;19.66523878;1.234531176;0
27;SUBA;186728;53.11308427;10.97692901;12.4105651;14.17516387;0.953793753;21.78587461
28;EL RINCON;295322;52.00120546;12.59371127;12.80873081;14.24377459;2.434630674;60.4611605
29;EL MINUTO DE DIOS;110520;52.82030402;9.159428158;11.22240318;20.93557727;1.397937025;19.44277951
30;BOYACA REAL;128214;52.37103592;9.344533358;11.40359087;18.03703184;2.01850032;0
31;SANTA CECILIA;67416;53.05713777;7.794885487;10.02135991;22.26326095;1.744393022;0
32;SAN BLAS;105092;52.07722757;14.92692117;14.24085563;13.12849694;2.760438473;99.68138041
33;SOSIEGO;44546;51.65895928;11.75189692;11.88883401;16.65693889;5.059938042;18.95066919
34;20 DE JULIO;81050;51.85194324;13.20296114;12.45897594;15.98642813;3.18815546;65.37087838
35;CIUDAD JARDIN;26977;53.730956;13.62271565;11.39118508;17.01078697;3.847722134;12.09297062
36;SAN JOSE;49117;52.97962009;11.41559949;12.25034102;17.83496549;1.805892054;1.757482854
37;SANTA ISABEL;43992;59.09256228;11.40889253;10.54964539;14.49354428;10.30414621;0
38;RESTREPO;56948;53.50495189;13.34902016;11.64395589;17.14546604;2.68314954;0
39;QUIROGA;93328;52.15155152;12.19676839;11.98461341;18.49605692;2.796588376;0
40;CIUDAD MONTES;103350;52.34059023;9.829704886;10.98403483;19.46686018;1.133043058;0
41;MUZU;60006;52.10645602;9.9573376;10.89557711;19.5447122;1.483185015;0
