cod_upz;nom_upz;Accidents (cars) [1/ha];Accidents (pedestrians) [1/ha];Accidents (motorcycles) [1/ha];Accidents (bicycles) [1/ha];Accidents (fatalities) [1/ha];Accidents (injuries) [1/ha];Pollution [PM2.5];Car use [%];Use of PT [%];Bicycle Use [%];Walking [%];Motorcycle use [%];Commuting time [min]
1;PASEO DE LOS LIBERTADORES;0.676418899;0.153300545;0.347691958;0.112209677;0.052153794;1.237467285;14.520332;18.80952381;26.42857143;10.95238095;30.23809524;5.238095238;49.42380952
2;LA ACADEMIA;0.136661079;0.053792127;0.085776635;0.027622984;0.017446095;0.28640673;15.738592;37.10691824;17.61006289;8.176100629;8.805031447;6.289308176;52.49056604
3;GUAYMARAL;0.11020822;0.014694429;0.05510411;0.018368037;0.014694429;0.183680367;14.520332;65.93406593;3.296703297;12.08791209;2.197802198;9.89010989;52.8021978
9;VERBENAL;1.406825112;1.943715511;1.154170806;0.404821104;0.160780013;4.748752519;15.964601;12.53918495;21.94357367;10.5015674;40.7523511;4.388714734;44.27272727
10;LA URIBE;1.419399984;0.5660533;1.009793575;0.219025649;0.093868135;3.120404373;15.964601;19.90740741;31.48148148;8.024691358;24.69135802;4.475308642;51.97222222
11;SAN CRISTOBAL NORTE;1.749418363;1.615957581;1.157862463;0.436452829;0.15871012;4.800981117;15.847144;12.64916468;25.29832936;7.159904535;39.37947494;4.057279236;47.72315036
12;TOBERIN;3.167938538;1.00673101;1.632072457;0.467288114;0.130565797;6.143464323;14.848444;16.11295681;30.56478405;7.973421927;30.23255814;5.980066445;53.84883721
13;LOS CEDROS;2.082815499;0.884934551;1.335637258;0.359364285;0.095830476;4.568418468;12.274132;23.58757062;31.21468927;5.790960452;23.58757062;5.649717514;54.20621469
14;USAQUEN;1.789973717;0.988130287;1.227063431;0.226784;0.115416857;4.120584293;12.902095;38.53868195;26.64756447;4.011461318;8.88252149;9.742120344;60.19627507
15;COUNTRY CLUB;1.190292271;0.48103257;0.807572927;0.193115265;0.073734919;2.598278114;12.274132;39.7752809;18.20224719;4.04494382;17.75280899;6.516853933;50.03820225
16;SANTA BARBARA;2.707444816;1.288007728;2.067821931;0.396478569;0.151143764;6.31079977;12.864928;33.25688073;27.40825688;2.752293578;17.20183486;6.995412844;59.5206422
17;SAN JOSE DE BAVARIA;0.903646681;0.487104256;0.712446879;0.20485693;0.052352327;2.25570242;15.738592;29.64169381;25.08143322;3.42019544;26.71009772;4.234527687;49.15635179
18;BRITALIA;1.484095494;0.889847812;1.151926277;0.335216641;0.097517568;3.763568655;14.622435;22.75574113;20.87682672;8.141962422;34.86430063;5.010438413;42.38622129
19;EL PRADO;2.249136159;0.895921458;1.574861937;0.412963797;0.100324538;5.032558812;14.848444;19.05829596;27.13004484;6.726457399;30.04484305;6.726457399;46.71076233
20;LA ALHAMBRA;2.101698257;0.792097333;1.418734334;0.309798068;0.119694708;4.509674149;14;25.79281184;34.24947146;3.805496829;17.7589852;4.22832981;56.69767442
21;LOS ANDES;2.580133337;1.280968878;1.954205363;0.469445981;0.174677574;6.117354217;16.581306;18.8034188;32.35653236;5.006105006;27.10622711;4.395604396;51.66544567
22;DOCE DE OCTUBRE;3.349123765;1.620832624;2.686462913;0.734299863;0.29551092;8.098193204;16.594953;10.31636864;26.82255846;7.42778542;40.1650619;4.401650619;42.32599725
23;CASA BLANCA SUBA;1.420457931;0.555313251;0.960477426;0.378947669;0.095332747;3.219863531;14.622435;32.98701299;22.85714286;2.337662338;21.03896104;8.831168831;45.43636364
24;NIZA;1.893366935;0.664706567;1.516525417;0.501146881;0.124305362;4.454057392;14.622435;26.91622103;17.55793226;5.793226381;36.63101604;3.832442068;41.70855615
25;LA FLORESTA;1.424442927;0.482514001;0.972727693;0.320820479;0.076996915;3.126074749;15.738592;30.59548255;17.04312115;1.642710472;31.21149897;3.490759754;47.82546201
